Maji ,Water
Maji ya kunywa ,Drinking water
Kahawa ,Coffee
Chai ,Tea
Bia ,Beer
Kuku ,Chicken
Nyama ,Meat
Nyama choma ,Roast meat
Vegetables, Mboga
Samaki ,Fish
Wali ,Rice
Supu ,Soup
Baridi ,Cold
Hakuna nyama ,No meat
Hakuna maziwa ,No milk
Hakuna karanga  ,No nuts
Mimi ni mzio wa,I’m allergic to
Siwezi kula…,I cannot eat
Duka la dawa ,Pharmacy
Duka ,Shop
Dawa ,Medicine
Kesho ,Tomorrow
Wapi? ,Where?
Liko ,Where is the…?
Gani? ,What? 
Ipi? ,Which?
Nani? ,Who?
Naipenda ,I like it
Sipendi ,I don’t like it
Unaipenda? ,Do you like it? 
Nakupenda ,I love you
Pesa, Money
Sina pesa ,I don’t have money 
Sasa ,Now
Kidogo  ,A little
Pole pole  ,Slowly
Rafiki ,Friend
Choo ,Toilet
Safari njema ,Good journey
Asante ,Thank you
Asante sana ,Thank you very much
Karibu ,Welcome
Karibu sana ,You are welcome
Karibuni  ,Welcome
Lala salaama ,Goodnight
Samahani ,I am sorry
Niwie radhi, Excuse me
Tafadhali  ,Please
Pole , Sorry
Pose sana, Very sorry
Ndio ,Yes
Hapana ,No
Sawa ,Ok
Hapana asante ,No thank you 
Sitaki ,I don’t need 
Hakuna matata, No worries
Hamna shida ,No problem
Naelewa ,I understand
Sielewi ,I don’t understand
Naweza kuchukua picha yako? ,Can I take your picture?
Naomba kupiga picha? ,May I take pictures?
Unaongea Kiingereza?, Do you speak English?
"Samahani, unaweza ongea Kiingereza?","Excuse me, do you speak English? "
"La, siongei Kiingereza ","No, I don’t speak English"
Jambo ,Hello   
Sijambo ,I’m fine
Mambo ,How are you doing
Poa ,Cool 
Safi ,Fine
Freshi ,Fresh
habari yako? ,How are you?
Mzuri,good
Mzuri sana ,Very good
"Niko salama, asante. Na wewe?"," I am fine , thank you. And you?"
Shikamoo ,how are you
Marahaba ,im fine thank you
Habari za asubuhi ,Good morning
Habari za mchana ,Good afternoon
Usiku mwema ,Goodnight
Jina lako nani? ,What is your name?
Jina langu … ,My name is…
Ninafurahia kukutana nawe ,Nice to meet you 
Nafurahi kukuona ,I am happy to see you
Unatoka wapi? ,Where are you from?
Natoka… ,I’m from…
Kwaheri ,Goodbye
Tutaonana baadaye  ,See you later
Tutaonana kesho ,See you tomorrow 
Tuonane kesho ,Let’s see each other tomorrow
kama,as
mimi,I
yake,his
kwamba,that
yeye,he
mara,was
kwa,for
juu ya,on
wako,are
kwa,with
wao,they
kuwa,be
katika,at
moja,one
na,have
hii,this
kutoka,from
na,by
moto,hot
neno,word
lakini,but
nini,what
baadhi,some
ni,is
yake,it
ninyi,you
au,or
alikuwa,had
akaonekana,the
ya,of
kwa,to
na,and
a,a
katika,in
sisi,we
unaweza,can
nje,out
nyingine,other
walikuwa,were
ambayo,which
kufanya,do
yao,their
wakati,time
kama,if
mapenzi,will
jinsi,how
alisema,said
an,an
kila,each
kuwaambia,tell
gani,does
kuweka,set
tatu,three
wanataka,want
hewa,air
vizuri,well
pia,also
kucheza,play
ndogo,small
mwisho,end
kuweka,put
nyumbani,home
kusoma,read
mkono,hand
bandari,port
kubwa,large
Spell,spell
kuongeza,add
hata,even
ardhi,land
hapa,here
lazima,must
kubwa,big
high,high
kama,such
kufuata,follow
tendo,act
kwa nini,why
kuuliza,ask
wanaume,men
mabadiliko ya,change
akaenda,went
mwanga,light
aina,kind
mbali,off
haja,need
nyumba,house
picha,picture
kujaribu,try
sisi,us
tena,again
mnyama,animal
uhakika,point
mama,mother
dunia,world
karibu,near
kujenga,build
binafsi,self
dunia,earth
baba,father
yoyote,any
mpya,new
kazi,work
sehemu,part
kuchukua,take
kupata,get
mahali,place
alifanya,made
kuishi,live
ambapo,where
baada ya,after
nyuma,back
kidogo,little
tu,only
pande zote,round
mtu,man
mwaka,year
alikuja,came
Onyesha,show
kila,every
nzuri,good
mimi,me
kutoa,give
wetu,our
chini ya,under
jina,name
sana,very
kupitia,through
tu,just
aina,form
hukumu,sentence
kubwa,great
kufikiri,think
kusema,say
msaada,help
chini,low
line,line
tofauti,differ
upande,turn
sababu,cause
kiasi,much
maana,mean
kabla ya,before
hoja,move
haki,right
mvulana,boy
umri wa,old
pia,too
sawa,same
yeye,she
kila,all
huko,there
wakati,when
up,up
kutumia,use
yako,your
njia,way
kuhusu,about
wengi,many
kisha,then
yao,them
kuandika,write
ingekuwa,would
kama,like
hivyo,so
haya,these
yake,her
muda mrefu,long
kufanya,make
kitu,thing
kuona,see
naye,him
mbili,two
ina,has
kuangalia,look
zaidi,more
siku,day
inaweza,could
kwenda,go
kuja,come
alifanya,did
simu,number
sauti,sound
hakuna,no
zaidi,most
watu,people
yangu,my
juu ya,over
kujua,know
maji,water
kuliko,than
simu,call
kwanza,first
ambao,who
inaweza,may
chini,down
upande,side
imekuwa,been
sasa,now
kupata,find
kichwa,head
kusimama,stand
mwenyewe,own
ukurasa,page
lazima,should
nchi,country
kupatikana,found
jibu,answer
shule,school
kukua,grow
utafiti,study
bado,still
kujifunza,learn
kupanda,plant
cover,cover
chakula,food
jua,sun
nne,four
kati ya,between
hali,state
kuweka,keep
jicho,eye
kamwe,never
mwisho,last
basi,let
wazo,thought
mji,city
ya mti,tree
msalaba,cross
shamba,farm
ngumu,hard
kuanza,start
nguvu,might
hadithi,story
saw,saw
mbali,far
bahari,sea
kuteka,draw
kushoto,left
marehemu,late
kukimbia,run
kufanya si,don’t
wakati,while
vyombo vya habari,press
karibu,close
usiku,night
halisi,real
maisha,life
chache,few
kaskazini,north
kitabu,book
kubeba,carry
alichukua,took
sayansi,science
kula,eat
chumba,room
rafiki,friend
alianza,began
wazo,idea
samaki,fish
mlima,mountain
kuacha,stop
mara moja,once
msingi,base
kusikia,hear
farasi,horse
kata,cut
uhakika,sure
kuangalia,watch
rangi,color
uso,face
mbao,wood
kuu,main
wazi,open
wanaonekana,seem
pamoja,together
ijayo,next
nyeupe,white
watoto,children
kuanza,begin
got,got
kutembea,walk
mfano,example
kupunguza,ease
karatasi,paper
kundi,group
daima,always
muziki,music
wale,those
wote wawili,both
alama,mark
mara nyingi,often
barua,letter
mpaka,until
maili,mile
mto,river
gari,car
miguu,feet
huduma,care
pili,second
kutosha,enough
wazi,plain
msichana,girl
kawaida,usual
vijana,young
tayari,ready
juu,above
milele,ever
nyekundu,red
orodha,list
ingawa,though
kujisikia,feel
majadiliano,talk
ndege,bird
hivi karibuni,soon
mwili,body
mbwa,dog
familia,family
moja kwa moja,direct
litasababisha,pose
kuondoka,leave
wimbo,song
kupima,measure
mlango,door
bidhaa,product
nyeusi,black
mfupi,short
numeral,numeral
darasa,class
upepo,wind
swali,question
kutokea,happen
kamili,complete
meli,ship
eneo,area
nusu,half
mwamba,rock
ili,order
moto,fire
kusini,south
tatizo,problem
kipande,piece
aliiambia,told
alijua,knew
kupita,pass
tangu,since
juu,top
zima,whole
mfalme,king
mitaani,street
inchi,inch
kuzidisha,multiply
chochote,nothing
Bila shaka,course
kukaa,stay
gurudumu,wheel
full,full
nguvu,force
bluu,blue
kitu,object
kuamua,decide
uso,surface
kina,deep
mwezi,moon
kisiwa,island
mguu,foot
mfumo,system
busy,busy
mtihani,test
rekodi,record
mashua,boat
kawaida,common
dhahabu,gold
iwezekanavyo,possible
ndege,plane
badala,stead
kavu,dry
ajabu,wonder
kucheka,laugh
elfu,thousand
iliyopita,ago
mbio,ran
kuangalia,check
mchezo,game
sura,shape
wanalinganisha,equate
moto,hot
miss ya,miss
kuletwa,brought
joto,heat
theluji,snow
tairi,tire
kuleta,bring
ndiyo,yes
mbali,distant
kujaza,fill
mashariki,east
rangi,paint
lugha,language
kati ya,among
kitengo,unit
nguvu,power
mji,town
faini,fine
baadhi ya,certain
kuruka,fly
kuanguka,fall
kusababisha,lead
kilio,cry
giza,dark
mashine,machine
note,note
kusubiri,wait
mpango,plan
takwimu,figure
nyota,star
sanduku,box
nomino,noun
shamba,field
wengine,rest
sahihi,correct
uwezo,able
chupa,pound
kutenda,done
uzuri,beauty
gari,drive
alisimama,stood
vyenye,contain
mbele,front
kufundisha,teach
wiki,week
mwisho,final
alitoa,gave
kijani,green
oh,oh
haraka,quick
kuendeleza,develop
bahari,ocean
joto,warm
bure,free
dakika,minute
nguvu,strong
maalum,special
akili,mind
nyuma ya,behind
wazi,clear
mkia,tail
kuzalisha,produce
ukweli,fact
nafasi,space
habari,heard
bora,best
saa,hour
bora,better
kweli,TRUE
wakati wa,during
mia,hundred
tano,five
kumbuka,remember
hatua,step
mapema,early
kushikilia,hold
magharibi,west
ardhi,ground
maslahi,interest
kufikia,reach
haraka,fast
kitenzi,verb
kuimba,sing
kusikiliza,listen
sita,six
meza,table
usafiri,travel
chini ya,less
asubuhi,morning
kumi,ten
rahisi,simple
kadhaa,several
vowel,vowel
kuelekea,toward
vita,war
kuweka,lay
dhidi ya,against
muundo,pattern
polepole,slow
kituo cha,center
upendo,love
mtu,person
fedha,money
kutumika,serve
itaonekana,appear
barabara,road
ramani,map
mvua,rain
utawala,rule
serikali,govern
kuvuta,pull
baridi,cold
ilani,notice
sauti,voice
nishati,energy
kuwinda,hunt
kinachowezekana,probable
kitanda,bed
ndugu,brother
yai,egg
safari,ride
kiini,cell
amini,believe
labda,perhaps
kuchukua,pick
ghafla,sudden
kuhesabu,count
mraba,square
sababu,reason
urefu,length
kuwakilisha,represent
sanaa,art
somo,subject
kanda,region
ukubwa,size
kutofautiana,vary
kuishi,settle
kusema,speak
uzito,weight
ujumla,general
barafu,ice
jambo,matter
mzunguko,circle
jozi,pair
ni pamoja na,include
mgawanyiko,divide
silabi,syllable
waliona,felt
kuu,grand
mpira,ball
bado,yet
wimbi,wave
kuacha,drop
moyo,heart
ni,am
sasa,present
nzito,heavy
ngoma,dance
injini,engine
nafasi,position
mkono,arm
pana,wide
meli,sail
vifaa,material
sehemu,fraction
msitu,forest
kukaa,sit
mbio,race
dirisha,window
kuhifadhi,store
majira ya joto,summer
treni,train
usingizi,sleep
kuthibitisha,prove
ya lone,lone
mguu,leg
zoezi,exercise
ukuta,wall
kukamata,catch
mlima,mount
unataka,wish
anga,sky
bodi,board
furaha,joy
majira ya baridi,winter
ameketi,sat
imeandikwa,written
pori,wild
chombo,instrument
naendelea,kept
kioo,glass
nyasi,grass
ng’ombe,cow
kazi,job
makali,edge
ishara,sign
ziara,visit
siku za nyuma,past
laini,soft
furaha,fun
mkali,bright
gesi,gas
hali ya hewa,weather
mwezi,month
milioni,million
kubeba,bear
kumaliza,finish
furaha,happy
matumaini,hope
ua,flower
nguo,clothe
ajabu,strange
kuondoka,gone
biashara,trade
kuimba,melody
safari,trip
ofisi,office
kupokea,receive
mstari,row
kinywa,mouth
halisi,exact
ishara,symbol
kufa,die
angalau,least
shida,trouble
kelele,shout
ila,except
aliandika,wrote
mbegu,seed
tone,tone
kujiunga na,join
kupendekeza,suggest
safi,clean
mapumziko,break
mwanamke,lady
yadi,yard
kupanda,rise
mbaya,bad
pigo,blow
mafuta,oil
damu,blood
kugusa,touch
ilikua,grew
cent,cent
kuchanganya,mix
timu,team
waya,wire
gharama,cost
waliopotea,lost
kahawia,brown
kuvaa,wear
bustani,garden
sawa,equal
alimtuma,sent
kuchagua,choose
akaanguka,fell
fit,fit
kati yake,flow
haki,fair
benki,bank
kukusanya,collect
kuokoa,save
kudhibiti,control
decimal,decimal
sikio,ear
mwingine,else
kabisa,quite
kuvunja,broke
kesi,case
katikati,middle
kuua,kill
mwana,son
ziwa,lake
wakati,moment
wadogo,scale
kubwa,loud
chemchemi,spring
kuchunguza,observe
mtoto,child
moja kwa moja,straight
consonant,consonant
taifa,nation
kamusi,dictionary
maziwa,milk
kasi,speed
njia,method
chombo,organ
kulipa,pay
umri,age
sehemu,section
mavazi,dress
wingu,cloud
mshangao,surprise
utulivu,quiet
jiwe,stone
vidogo,tiny
kupanda,climb
baridi,cool
kubuni,design
maskini,poor
mengi,lot
majaribio,experiment
chini,bottom
ufunguo,key
chuma,iron
moja,single
fimbo,stick
gorofa,flat
ishirini,twenty
ngozi,skin
tabasamu,smile
na crease,crease
shimo,hole
kuruka,jump
mtoto,baby
nane,eight
kijiji,village
kukutana,meet
mizizi,root
kununua,buy
kuongeza,raise
kutatua,solve
chuma,metal
kama,whether
kushinikiza,push
saba,seven
aya,paragraph
tatu,third
atakuwa,shall
uliofanyika,held
nywele,hair
kuelezea,describe
mpishi,cook
sakafu,floor
ama,either
matokeo,result
kuchoma,burn
kilima,hill
salama,safe
paka,cat
karne ya,century
kufikiria,consider
aina,type
sheria,law
kidogo,bit
pwani,coast
nakala,copy
maneno,phrase
kimya,silent
mrefu,tall
mchanga,sand
udongo,soil
orodha,roll
joto,temperature
kidole,finger
sekta ya,industry
thamani,value
kupambana,fight
uongo,lie
kuwapiga,beat
kuchochea,excite
asili,natural
mtazamo,view
maana,sense
mji mkuu wa,capital
si,won’t
kiti,chair
hatari,danger
matunda,fruit
tajiri,rich
nene,thick
askari,soldier
mchakato,process
kazi,operate
mazoezi,practice
tofauti,separate
vigumu,difficult
daktari,doctor
tafadhali,please
kulinda,protect
saa sita mchana,noon
mazao,crop
kisasa,modern
kipengele,element
hit,hit
mwanafunzi,student
kona,corner
chama,party
usambazaji,supply
ambao,whose
Machapisho,locate
pete,ring
tabia ya,character
wadudu,insect
hawakupata,caught
kipindi,period
zinaonyesha,indicate
za Redio,radio
alizungumza,spoke
chembe,atom
binadamu,human
historia,history
athari,effect
umeme,electric
kutarajia,expect
mfupa,bone
reli,rail
kufikiria,imagine
kutoa,provide
kukubaliana,agree
hivyo,thus
mpole,gentle
mwanamke,woman
nahodha,captain
nadhani,guess
muhimu,necessary
mkali,sharp
mrengo,wing
kujenga,create
jirani,neighbor
osha,wash
bat kwa,bat
badala,rather
umati wa watu,crowd
nafaka,corn
kulinganisha,compare
shairi,poem
kamba,string
kengele,bell
hutegemea,depend
nyama,meat
kusugua,rub
tube,tube
maarufu,famous
dola,dollar
mkondo,stream
hofu,fear
mbele,sight
nyembamba,thin
pembetatu,triangle
sayari,planet
haraka,hurry
wakuu,chief
koloni,colony
saa,clock
yangu,mine
tie,tie
kuingia,enter
kuu,major
safi,fresh
search,search
kutuma,send
njano,yellow
bunduki,gun
kuruhusu,allow
magazeti,print
wafu,dead
doa,spot
jangwa,desert
suti,suit
sasa,current
kuinua,lift
kufufuka,rose
kuwasili,arrive
bwana,master
kufuatilia,track
mzazi,parent
pwani,shore
mgawanyiko,division
karatasi,sheet
Dutu,substance
neema,favor
kuungana,connect
baada,post
kutumia,spend
gumzo,chord
mafuta,fat
furaha,glad
awali,original
kushiriki,share
kituo cha,station
baba,dad
mkate,bread
malipo,charge
sahihi,proper
bar ya,bar
kutoa,offer
sehemu,segment
mtumwa,slave
bata,duck
papo,instant
soko,market
shahada ya,degree
idadi ya,populate
kifaranga,chick
wapenzi,dear
adui,enemy
jibu,reply
kunywa,drink
kutokea,occur
msaada,support
hotuba,speech
asili,nature
mbalimbali,range
mvuke,steam
mwendo,motion
njia,path
kioevu,liquid
kuingia,log
maana,meant
quotient ya,quotient
meno,teeth
ganda,shell
shingo,neck
oksijeni,oxygen
sukari,sugar
kifo,death
wa pretty,pretty
ujuzi,skill
wanawake,women
msimu,season
ufumbuzi,solution
sumaku,magnet
fedha,silver
kuwashukuru,thank
tawi,branch
mechi,match
suffix,suffix
hasa,especially
mtini,fig
hofu,afraid
kubwa,huge
dada,sister
chuma,steel
kujadili,discuss
mbele,forward
sawa,similar
kuongoza,guide
uzoefu,experience
alama,score
mboni,apple
kununuliwa,bought
kuongozwa,led
lami,pitch
kanzu,coat
habari,mass
kadi,card
bendi,band
kamba,rope
kuingizwa,slip
kushinda,win
ndoto,dream
jioni,evening
hali,condition
kulisha,feed
chombo,tool
jumla,total
msingi,basic
harufu,smell
bonde,valley
wala,nor
mara mbili,double
kiti cha,seat
kuendelea,continue
kuzuia,block
chati,chart
kofia,hat
kuuza,sell
mafanikio,success
kampuni,company
Ondoa,subtract
tukio,event
hasa,particular
mpango,deal
kuogelea,swim
mrefu,term
kinyume,opposite
mke,wife
kiatu,shoe
bega,shoulder
kuenea,spread
kupanga,arrange
kambi,camp
mzulia,invent
pamba,cotton
aliyezaliwa,born
kuamua,determine
lita moja,quart
tisa,nine
lori,truck
kelele,noise
ngazi ya,level
nafasi,chance
kukusanya,gather
duka,shop
kunyoosha,stretch
kutupa,throw
uangaze,shine
mali,property
safu,column
molekuli,molecule
kuchagua,select
makosa,wrong
kijivu,gray
kurudia,repeat
zinahitaji,require
pana,broad
kuandaa,prepare
chumvi,salt
pua,nose
wingi,plural
hasira,anger
madai,claim
bara,continent
,
Do,fanya
Go,kwenda
He,yeye
Me,mimi
My,yangu
No,Hapana
On,juu
Or,au
So,hivyo
Up,juu
We,sisi
Act,kitendo
Add,ongeza
Age,umri
Aim,lengo
Air,hewa
All,zote
Ant,mchwa
Any,yoyote
Ask,uliza
Bad,mbaya
Big,kubwa
Buy,kununua
Cry,kulia
Dam,bwawa
Die,kufa
Dry,kavu
End,mwisho
Ear,sikio
Eat,kula
Egg,yai
Eye,jicho
Fat,mafuta
Fly,kuruka
Fun,furaha
Get,pata
God,mungu
Hen,kuku
Hot,moto
Job,kazi
Leg,mguu
Lie,uongo
Low,chini
Mad,wazimu
Man,mtu
Not,sivyo
Now,sasa
New,mpya
Old,mzee
Own,mwenyewe
Run,kukimbia
Sad,huzuni
Sea,baharini
See,ona
Shy,aibu
Sit,kukaa
Sum,jumla
Sun,jua
Tax,Kodi
Try,jaribu
Use,kutumia
War,vita
Wet,mvua
Why,kwa nini
Win,kushinda
Yes,ndio
You,wewe
Also,pia
Baby,mtoto
Back,nyuma
Bake,bake
Bald,upara
Ball,mpira
Bark,gome
Bath,kuoga
Beet,beti
Bend,pinda
Best,bora zaidi
Bird,ndege
Bold,ujasiri
Bone,mfupa
Book,kitabu
Born,kuzaliwa
Both,zote mbili
Busy,busy
Call,wito
Calm,utulivu
Care,kujali
Come,njoo
Cost,gharama
Cute,mzuri
Crow,kunguru
Dare,kuthubutu
Dark,giza
Date,tarehe
Deal,mpango
Diet,mlo
Dish,sahani
Door,mlango
Down,chini
Dust,vumbi
Each,kila mmoja
Earn,kulipwa
Easy,rahisi
Edge,makali
Evil,uovu
Exit,Utgång
Face,uso
Fact,ukweli
Fair,haki
Fake,bandia
Farm,shamba
Fast,haraka
Fear,hofu
Feel,kuhisi
Find,tafuta
Fine,vizuri
Fish,samaki
Food,chakula
Fool,mjinga
Free,bure
Frog,chura
Full,kamili
Gape,gape
Gift,zawadi
Girl,msichana
Goat,mbuzi
Good,nzuri
Grab,kunyakua
Grow,kukua
Half,nusu
Hate,chuki
Head,kichwa
Hear,sikia
Heat,joto
Help,msaada
Here,hapa
Hide,kujificha
High,juu
Hold,shika
Hole,shimo
Home,nyumbani
Huge,kubwa
Hurt,kuumiza
Idea,wazo
Jump,kuruka
Just,tu
Kill,kuua
Land,ardhi
Last,mwisho
Late,marehemu
Left,kushoto
Life,maisha
Line,mstari
Lion,simba
Long,ndefu
Look,tazama
Lost,potea
Love,upendo
Luck,bahati
Lung,mapafu
Many,nyingi
Meet,kukutana
Melt,kuyeyuka
Milk,maziwa
Must,lazima
,
Name,jina
Near,karibu
Neat,nadhifu
Neck,shingo
Need,haja
Next,ijayo
Only,pekee
Pain,maumivu
Pair,jozi
Park,mbuga
Path,njia
Play,kucheza
Poor,maskini
Pull,vuta
Pure,safi
Quit,acha
Quiz,chemsha bongo
Race,mbio
Rain,mvua
Rare,nadra
Real,halisi
Rent,kodisha
Rest,pumzika
Rich,tajiri
Ride,panda
Rise,kupanda
Risk,hatari
Room,chumba
Rope,kamba
Rude,jeuri
Sage,hekima
Sail,tanga
Salt,chumvi
Same,sawa
Sand,mchanga
Save,kuokoa
Scam,kashfa
Seed,mbegu
Seek,tafuta
Self,binafsi
Sell,kuuza
Send,tuma
Shop,Duka
Show,onyesha
Sick,mgonjwa
Side,upande
Site,tovuti
Size,ukubwa
Skin,ngozi
Slow,polepole
Soft,laini
Soil,udongo
Some,baadhi
Soon,hivi karibuni
Stay,kukaa
Stop,acha
Such,vile
Swap,kubadilishana
Swim,kuogelea
Take,kuchukua
Talk,kuzungumza
Tall,mrefu
Team,timu
Tell,sema
Tent,hema
That,hiyo
Then,basi
Thin,nyembamba
This,hii
Tide,wimbi
Time,wakati
Tour,ziara
Town,mji
Tree,mti
Trip,safari
Turn,kugeuka
Ugly,mbaya
Vase,chombo hicho
Vein,mshipa
Very,sana
View,mtazamo
Wage,mshahara
Wait,subiri
Wake,kuamka
Walk,tembea
Wall,ukuta
Want,kutaka
Warm,joto
Warn,onya
Weak,dhaifu
Wear,kuvaa
Week,wiki
Well,vizuri
Went,akaenda
What,nini
When,lini
Wide,pana
Wife,mke
Wild,mwitu
Will,mapenzi
Wind,upepo
Wine,mvinyo
Wish,tamani
Wood,mbao
Wool,pamba
Word,neno
Work,kazi
Worm,mdudu
Yarn,uzi
Your,yako
Zoom,zoom
About,kuhusu
Above,juu
Adapt,kukabiliana
Admit,kubali
Adult,mtu mzima
After,baada ya
Again,tena
Agree,kubali
Alert,tahadhari
